排名,学校名称,省市,毕业生就业率,综合排名
,,,,
1,福建师范大学闽南科技学院,福建,100.00%,
2,广东工业大学华立学院,广东,99.98%,
2,广东外语外贸大学,广东,99.98%,109
4,中山大学新华学院,广东,99.90%,
4,中央美术学院,北京,99.90%,
6,华南农业大学珠江学院,广东,99.83%,
7,广东培正学院,广东,99.74%,
8,岭南师范学院,广东,99.73%,472
9,首都经济贸易大学,北京,99.66%,105
10,首都师范大学,北京,99.65%,107
10,肇庆学院,广东,99.65%,496
12,佛山科学技术学院,广东,99.61%,381
13,浙江警察学院,浙江,99.53%,
14,上海应用技术大学,上海,99.52%,312
15,西交利物浦大学,江苏,99.50%,105
16,北京信息科技大学,北京,99.42%,235
16,汕头大学,广东,99.42%,110
18,广东外语外贸大学南国商学院,广东,99.40%,
19,北京第二外国语学院,北京,99.39%,
19,上海建桥学院,上海,99.39%,
21,广东财经大学,广东,99.22%,285
22,莆田学院,福建,99.20%,521
23,云南师范大学商学院,云南,99.17%,
24,中国矿业大学（北京）,北京,99.16%,115
25,上海电机学院,上海,99.14%,454
26,北京邮电大学,北京,99.13%,48
26,上海大学,上海,99.13%,41
26,上海工程技术大学,上海,99.13%,308
29,昆明理工大学津桥学院,云南,99.12%,
29,南京航空航天大学,江苏,99.12%,35
31,南京邮电大学,江苏,99.10%,91
32,北京工业大学,北京,99.09%,72
33,华东交通大学理工学院,江西,99.08%,
34,河北传媒学院,河北,99.02%,
35,普洱学院,云南,99.01%,
35,中国传媒大学南广学院,江苏,99.01%,
37,华南理工大学,广东,99.00%,19
37,江苏第二师范学院,江苏,99.00%,381
39,广州大学华软软件学院,广东,98.99%,
40,南京航空航天大学金城学院,江苏,98.97%,
41,南京理工大学,江苏,98.94%,37
42,北京师范大学,北京,98.89%,20
43,东莞理工学院城市学院,广东,98.88%,
43,青岛滨海学院,山东,98.88%,
43,徐州工程学院,江苏,98.88%,340
46,上海海事大学,上海,98.87%,153
47,北京石油化工学院,北京,98.86%,398
47,对外经济贸易大学,北京,98.86%,28
47,广东石油化工学院,广东,98.86%,443
50,龙岩学院,福建,98.85%,496
51,南京信息工程大学,江苏,98.84%,79
52,云南师范大学文理学院,云南,98.82%,
53,保山学院,云南,98.80%,
53,楚雄师范学院,云南,98.80%,566
53,上海体育学院,上海,98.80%,294
56,云南民族大学,云南,98.75%,403
57,中国矿业大学,江苏,98.74%,83
58,上海杉达学院,上海,98.71%,
59,贵州大学明德学院,贵州,98.68%,
60,同济大学,上海,98.67%,11
61,江苏科技大学,江苏,98.66%,187
62,上海交通大学,上海,98.65%,4
63,北京航空航天大学,北京,98.64%,15
64,扬州大学,江苏,98.62%,100
65,北京工商大学嘉华学院,北京,98.59%,
66,北京邮电大学世纪学院,北京,98.54%,
67,齐鲁工业大学,山东,98.49%,450
68,北京化工大学,北京,98.48%,48
69,黄河科技学院,河南,98.47%,
69,盐城工学院,江苏,98.47%,320
71,红河学院,云南,98.46%,542
72,北京工商大学,北京,98.43%,163
72,山东政法学院,山东,98.43%,
72,武夷学院,福建,98.43%,
75,中国药科大学,江苏,98.41%,67
76,云南工商学院,云南,98.40%,
77,常熟理工学院,江苏,98.39%,279
77,贵州财经大学,贵州,98.39%,454
79,四川大学锦城学院,四川,98.34%,
79,中国人民公安大学,北京,98.34%,173
81,燕京理工学院,河北,98.32%,
82,南京理工大学泰州科技学院,江苏,98.31%,
83,上海第二工业大学,上海,98.28%,313
84,东南大学,江苏,98.27%,13
85,辽宁对外经贸学院,辽宁,98.24%,
86,贵州师范大学求是学院,贵州,98.23%,
86,江苏师范大学,江苏,98.23%,154
88,青岛黄海学院,山东,98.22%,
89,辽宁科技学院,辽宁,98.21%,
89,南京工程学院,江苏,98.21%,235
89,南京艺术学院,江苏,98.21%,
92,南京林业大学,江苏,98.18%,273
93,广东海洋大学,广东,98.17%,340
94,南京财经大学,江苏,98.13%,115
94,上海理工大学,上海,98.13%,123
94,盐城师范学院,江苏,98.13%,340
97,杭州师范大学,浙江,98.12%,126
97,上海戏剧学院,上海,98.12%,
99,广东药科大学,广东,98.10%,323
100,河北科技学院,河北,98.07%,
101,北京交通大学,北京,98.03%,45
101,东北师范大学,吉林,98.03%,65
103,西安电子科技大学,陕西,98.02%,54
104,中央音乐学院,北京,98.01%,
105,广州美术学院,广东,98.00%,
106,厦门理工学院,福建,97.99%,337
107,湖南理工学院,湖南,97.96%,395
107,五邑大学,广东,97.96%,450
107,云南中医学院,云南,97.96%,337
110,北京服装学院,北京,97.94%,443
111,淮海工学院,江苏,97.93%,381
112,上海外国语大学贤达经济人文学院,上海,97.92%,
112,文山学院,云南,97.92%,
114,云南艺术学院,云南,97.91%,
115,上海商学院,上海,97.90%,
116,北方工业大学,北京,97.88%,195
117,浙江农林大学,浙江,97.87%,199
118,北京物资学院,北京,97.85%,165
119,南京信息工程大学滨江学院,江苏,97.84%,
119,上海师范大学,上海,97.84%,134
121,北京理工大学,北京,97.83%,21
121,广东医科大学,广东,97.83%,279
121,南京师范大学泰州学院,江苏,97.83%,
124,湖南理工学院南湖学院,湖南,97.82%,
124,江南大学,江苏,97.82%,58
126,华东理工大学,上海,97.79%,34
127,上海政法学院,上海,97.78%,
128,临沂大学,山东,97.77%,467
129,南通大学,江苏,97.76%,179
130,浙江中医药大学,浙江,97.75%,250
131,大连理工大学城市学院,辽宁,97.74%,
132,安徽信息工程学院,安徽,97.73%,
133,上海电力学院,上海,97.71%,225
134,浙江大学城市学院,浙江,97.69%,
135,云南大学旅游文化学院,云南,97.62%,
136,南方科技大学,广东,97.60%,43
137,河北科技大学,河北,97.57%,188
137,长江师范学院,重庆,97.57%,479
139,北京农学院,北京,97.54%,381
139,宁波诺丁汉大学,浙江,97.54%,
141,南方医科大学,广东,97.53%,77
142,苏州科技大学天平学院,江苏,97.51%,
142,中国劳动关系学院,北京,97.51%,
144,清华大学,北京,97.50%,1
144,浙江财经大学,浙江,97.50%,135
146,上海中医药大学,上海,97.48%,83
146,西安交通大学,陕西,97.48%,14
148,宁波工程学院,浙江,97.47%,415
148,宁德师范学院,福建,97.47%,
150,广州中医药大学,广东,97.44%,182
151,广东警官学院,广东,97.41%,
152,云南艺术学院文华学院,云南,97.40%,
153,北京大学,北京,97.39%,2
154,齐鲁理工学院,山东,97.36%,
154,山东科技大学,山东,97.36%,223
156,重庆大学城市科技学院,重庆,97.35%,
157,苏州科技大学,江苏,97.33%,207
157,西南交通大学,四川,97.33%,74
159,合肥学院,安徽,97.31%,521
160,苏州大学文正学院,江苏,97.30%,
161,大连东软信息学院,辽宁,97.27%,
162,广东第二师范学院,广东,97.26%,415
162,南京邮电大学通达学院,江苏,97.26%,
162,中国计量大学,浙江,97.26%,199
165,广东金融学院,广东,97.25%,364
165,中国农业大学,北京,97.25%,40
167,广州医科大学,广东,97.24%,150
168,复旦大学,上海,97.23%,5
168,华侨大学,福建,97.23%,86
170,北京第二外国语学院中瑞酒店管理学院,北京,97.21%,
170,四川文化艺术学院,四川,97.21%,
172,北京印刷学院,北京,97.20%,329
172,福建工程学院,福建,97.20%,403
172,福建师范大学,福建,97.20%,199
172,金陵科技学院,江苏,97.20%,346
172,天津大学,天津,97.20%,18
177,中国人民大学,北京,97.17%,30
178,南开大学,天津,97.16%,16
179,吉林大学珠海学院,广东,97.14%,
179,云南师范大学,云南,97.14%,195
181,邢台学院,河北,97.12%,496
181,浙江越秀外国语学院,浙江,97.12%,
183,广东工业大学,广东,97.11%,144
183,中国石油大学（华东）,山东,97.11%,80
185,北京理工大学珠海学院,广东,97.10%,
185,泉州师范学院,福建,97.10%,489
185,云南警官学院,云南,97.10%,
185,浙江财经大学东方学院,浙江,97.10%,
185,浙江理工大学,浙江,97.10%,107
190,江苏师范大学科文学院,江苏,97.09%,
191,衢州学院,浙江,97.07%,557
192,暨南大学,广东,97.05%,56
193,东南大学成贤学院,江苏,97.04%,
194,宿州学院,安徽,97.03%,
194,浙江科技学院,浙江,97.03%,296
196,北京师范大学珠海分校,广东,97.01%,
196,常州大学,江苏,97.01%,179
198,天津大学仁爱学院,天津,96.99%,
199,浙江农林大学暨阳学院,浙江,96.98%,
200,山东工商学院,山东,96.97%,496
201,昆明学院,云南,96.95%,479
202,昆明医科大学,云南,96.94%,195
203,南京医科大学,江苏,96.93%,55
203,西南交通大学希望学院,四川,96.93%,
205,大连艺术学院,辽宁,96.92%,
205,兰州理工大学,甘肃,96.92%,313
207,杭州电子科技大学,浙江,96.90%,113
207,上海对外经贸大学,上海,96.90%,132
207,浙江工商大学杭州商学院,浙江,96.90%,
210,山东农业大学,山东,96.89%,289
211,铜仁学院,贵州,96.85%,599
212,廊坊师范学院,河北,96.80%,450
212,浙江工商大学,浙江,96.80%,130
214,宁波大学科学技术学院,浙江,96.79%,
215,上海音乐学院,上海,96.78%,
216,德州学院,山东,96.76%,595
216,皖南医学院,安徽,96.76%,467
