排名,学校名称,省市,新生高考成绩得分,综合排名
,,,,
1,清华大学,北京,100.0,1
2,北京大学,北京,96.4,2
3,中国科学院大学,北京,94.4,
4,中国科学技术大学,安徽,92.1,6
5,复旦大学,上海,91.5,5
6,中国人民大学,北京,90.8,30
7,上海交通大学,上海,90.5,4
8,南京大学,江苏,88.4,7
9,同济大学,上海,87.0,11
10,浙江大学,浙江,86.3,3
11,上海财经大学,上海,86.2,39
12,南开大学,天津,85.9,16
13,北京航空航天大学,北京,85.4,15
14,中央财经大学,北京,85.2,52
15,北京师范大学,北京,85.1,20
16,武汉大学,湖北,84.4,12
17,对外经济贸易大学,北京,84.2,28
18,西安交通大学,陕西,83.6,14
19,天津大学,天津,82.5,18
20,华中科技大学,湖北,82.4,8
21,北京理工大学,北京,82.1,21
22,外交学院,北京,81.9,
23,北京外国语大学,北京,81.8,51
23,东南大学,江苏,81.8,13
25,中山大学,广东,81.1,9
26,中国政法大学,北京,80.8,94
27,华东师范大学,上海,79.4,32
28,香港中文大学（深圳）,广东,79.0,
29,北京邮电大学,北京,78.2,48
29,哈尔滨工业大学,黑龙江,78.2,10
31,厦门大学,福建,77.9,22
32,上海外国语大学,上海,77.5,70
33,西北工业大学,陕西,77.1,29
34,西南财经大学,四川,76.6,66
35,中南大学,湖南,76.0,26
36,大连理工大学,辽宁,75.8,25
36,中国传媒大学,北京,75.8,98
38,南方科技大学,广东,75.7,43
38,四川大学,四川,75.7,17
40,电子科技大学,四川,75.4,33
41,上海科技大学,上海,75.1,
41,中南财经政法大学,湖北,75.1,77
43,华南理工大学,广东,74.8,19
44,吉林大学,吉林,74.4,23
44,南京航空航天大学,江苏,74.4,35
46,湖南大学,湖南,74.2,31
47,北京科技大学,北京,73.8,37
47,重庆大学,重庆,73.8,35
49,北京交通大学,北京,73.5,45
50,山东大学,山东,73.4,24
51,华东理工大学,上海,72.9,34
52,首都医科大学,北京,72.7,46
53,北京语言大学,北京,72.5,
54,西安电子科技大学,陕西,72.2,54
55,天津医科大学,天津,72.1,52
56,南京理工大学,江苏,71.8,37
57,中国农业大学,北京,71.0,40
58,华中师范大学,湖北,70.2,43
59,中国海洋大学,山东,70.0,60
60,哈尔滨工程大学,黑龙江,69.8,61
60,中央民族大学,北京,69.8,91
62,北京中医药大学,北京,69.7,86
62,华北电力大学,北京,69.7,59
64,暨南大学,广东,69.6,56
65,苏州大学,江苏,69.5,27
66,武汉理工大学,湖北,69.4,47
67,东北大学,辽宁,69.0,42
68,东北财经大学,辽宁,68.7,89
68,兰州大学,甘肃,68.7,57
68,中国医科大学,辽宁,68.7,74
71,华东政法大学,上海,68.6,
72,中国药科大学,江苏,68.4,67
73,东华大学,上海,68.2,48
74,河海大学,江苏,68.1,72
75,北京林业大学,北京,68.0,89
76,河北工业大学,河北,67.9,121
77,国际关系学院,北京,67.6,
78,北京工业大学,北京,67.3,72
79,江南大学,江苏,67.2,58
80,北京化工大学,北京,67.1,48
81,上海对外经贸大学,上海,66.8,132
81,西南交通大学,四川,66.8,74
83,上海大学,上海,66.7,41
84,南京师范大学,江苏,66.4,63
85,天津财经大学,天津,66.1,164
86,中国地质大学（武汉）,湖北,65.3,61
87,北京第二外国语学院,北京,65.2,
87,南京医科大学,江苏,65.2,55
89,中国地质大学（北京）,北京,65.1,69
90,西北大学,陕西,64.6,98
91,东北师范大学,吉林,64.5,65
92,长安大学,陕西,64.4,126
93,燕山大学,河北,64.0,110
93,中国矿业大学（北京）,北京,64.0,115
95,宁波诺丁汉大学,浙江,63.8,
96,合肥工业大学,安徽,63.7,82
96,华中农业大学,湖北,63.7,63
98,广西大学,广西,63.5,137
